レベル,関数,カテゴリ,起点,処理概要,コメント(英語),コメント(日本語),参照データ,ファイル,実行形態
,app_delete_pre_proc(),フレーム処理,タスクループ,"取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: *
 * @brief Deletes the pre-processing ノード from the グラフ.
 *
 * @param[in] preProcObj - A pointer to the pre-processing object which contains
 *             the ノード to be deleted.）","*
 * @brief Deletes the pre-processing node from the graph.
 *
 * @param[in] preProcObj - A pointer to the pre-processing object which contains
 *                         the node to be deleted.","*
 * @brief Deletes the pre-processing ノード from the グラフ.
 *
 * @param[in] preProcObj - A pointer to the pre-processing object which contains
 *             the ノード to be deleted.","preProcObj, PreProcObj, tivxTIDLJ7Params, tidlParams, numInputBuf",apps/dl_demos/app_tidl_front_cam/app_pre_proc_module.c,共通/その他
,load_cpu_task(),初期化,タスクループ,"モジュールやパラメータを初期化し、実行準備を行う（注記: *
 * @brief The load_cpu_task function is a CPU-intensive タスク that is designed to simulate a load on the CPU.
 *
 * @param app_var The application object that contains the parameters and state of the application.）","*
 * @brief The load_cpu_task function is a CPU-intensive task that is designed to simulate a load on the CPU.
 *
 * @param app_var The application object that contains the parameters and state of the application.","*
 * @brief The load_cpu_task function is a CPU-intensive タスク that is designed to simulate a load on the CPU.
 *
 * @param app_var The application object that contains the parameters and state of the application.","AppObj, tivxTaskSetDefaultCreateParams",apps/dl_demos/app_tidl_front_cam/main.c,共通/その他
,load_cpu_task_stop_and_delete(),終了処理,タスクループ,"ノード／メモリ等のリソースを解放し、実行を終了する（注記: *
 * @brief Deletes CPU load tasks.
 *
 * This function waits for all CPU load tasks to complete, deletes the
 * mutex used to synchronize タスク completion status, and then deletes
 * each of the CPU load tasks.
 *
 * @param obj Pointer to the application object containing configuration
 *      and state information.）","*
 * @brief Deletes CPU load tasks.
 *
 * This function waits for all CPU load tasks to complete, deletes the
 * mutex used to synchronize task completion status, and then deletes
 * each of the CPU load tasks.
 *
 * @param obj Pointer to the application object containing configuration
 *            and state information.","*
 * @brief Deletes CPU load tasks.
 *
 * This function waits for all CPU load tasks to complete, deletes the
 * mutex used to synchronize タスク completion status, and then deletes
 * each of the CPU load tasks.
 *
 * @param obj Pointer to the application object containing configuration
 *      and state information.",,apps/dl_demos/app_tidl_front_cam/main.c,共通/その他
,set_img_mosaic_defaults(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"imgMosaicObj, DisplayObj, displayObj, AppObj, SensorObj, sensorObj, encode_buf, update_scaler_params, scalerObj, odPreProcObj",apps/dl_demos/app_tidl_front_cam/main.c,共通/その他
,set_omx_encode_defaults(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: IMX728-UB971_SONY）,IMX728-UB971_SONY,IMX728-UB971_SONY,"encode_buf, update_scaler_params, AppObj, scalerObj, sensorObj, odPreProcObj, sgPreProcObj, odPostProcObj, sgPostProcObj, displayObj",apps/dl_demos/app_tidl_front_cam/main.c,共通/その他
,set_post_proc_defaults_od(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: 0-NCHW）,0-NCHW,0-NCHW,"postProcObj, AppObj, PostProcObj, scalerObj, ImgMosaicObj, imgMosaicObj, DisplayObj, displayObj, SensorObj, sensorObj",apps/dl_demos/app_tidl_front_cam/main.c,共通/その他
,set_post_proc_defaults_sg(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"postProcObj, AppObj, PostProcObj, scalerObj, ImgMosaicObj, imgMosaicObj, DisplayObj, displayObj, SensorObj, sensorObj",apps/dl_demos/app_tidl_front_cam/main.c,共通/その他
,set_pre_proc_defaults(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: user asked to 停止する processing）,user asked to stop processing,user asked to 停止する processing,"preProcObj, PostProcObj, postProcObj, AppObj, scalerObj, ImgMosaicObj, imgMosaicObj, DisplayObj, displayObj, SensorObj",apps/dl_demos/app_tidl_front_cam/main.c,共通/その他
,update_post_proc_params_od(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"postProcObj, scalerObj, PostProcObj, AppObj, ImgMosaicObj, imgMosaicObj, DisplayObj, displayObj, SensorObj, sensorObj",apps/dl_demos/app_tidl_front_cam/main.c,共通/その他
,update_post_proc_params_sg(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"postProcObj, scalerObj, AppObj, ImgMosaicObj, imgMosaicObj, DisplayObj, displayObj, SensorObj, sensorObj, encode_buf",apps/dl_demos/app_tidl_front_cam/main.c,共通/その他
,update_scaler_params(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"scalerObj, AppObj, sensorObj, odPreProcObj, sgPreProcObj, odPostProcObj, sgPostProcObj, displayObj, captureObj, update_scaler_params",apps/dl_demos/app_tidl_front_cam/main.c,共通/その他
,getReferenceAddr(),その他,タスクループ,一般的な制御ロジックを実行する,,,tivxReferenceExportHandle,apps/dl_demos/app_tidl_front_cam/omx_encode_module.c,共通/その他
,omx_allocate_input_buffer(),その他,タスクループ,一般的な制御ロジックを実行する,,,"compHandle, omxEncodeHandle, OMX_GetHandle, omx_encode_create_handle, omxEncodeCfg, free_handle",apps/dl_demos/app_tidl_front_cam/omx_encode_module.c,共通/その他
,omx_allocate_output_buffers(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,"compHandle, omxEncodeHandle, OMX_GetHandle, omx_encode_create_handle, omxEncodeCfg, free_handle",apps/dl_demos/app_tidl_front_cam/omx_encode_module.c,共通/その他
,omx_encode_delete_handle(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する,,,tivxReferenceExportHandle,apps/dl_demos/app_tidl_front_cam/omx_encode_module.c,共通/その他
,omx_encode_enqueue_buf(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,"compHandle, omx_encode_dqueue_buf, omxEncodeHandle, omx_encode_delete_handle, tivxReferenceExportHandle",apps/dl_demos/app_tidl_front_cam/omx_encode_module.c,共通/その他
,omx_encode_init(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,"OMX_GetHandle, compHandle, omxEncodeHandle, omx_encode_create_handle, omxEncodeCfg, free_handle",apps/dl_demos/app_tidl_front_cam/omx_encode_module.c,共通/その他
,omx_encode_init_cfg(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: OMX Version）,OMX Version,OMX Version,"_omxEncodeHandle, omxEncodeCfg, compHandle, omxEncodeHandle, OMX_GetHandle",apps/dl_demos/app_tidl_front_cam/omx_encode_module.c,共通/その他
,omx_encode_move_to_state(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,"compHandle, omxEncodeHandle, omx_encode_enqueue_buf, omx_encode_dqueue_buf, omx_encode_delete_handle, tivxReferenceExportHandle",apps/dl_demos/app_tidl_front_cam/omx_encode_module.c,共通/その他
,omx_encode_start(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,"compHandle, omx_encode_enqueue_buf, omxEncodeHandle, omx_encode_dqueue_buf, omx_encode_delete_handle, tivxReferenceExportHandle",apps/dl_demos/app_tidl_front_cam/omx_encode_module.c,共通/その他
,omx_encode_stop(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する,,,"omx_encode_delete_handle, omxEncodeHandle, tivxReferenceExportHandle",apps/dl_demos/app_tidl_front_cam/omx_encode_module.c,共通/その他
,app_deinit_draw_detections(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"drawDetectionsObj, DrawDetectionsObj",apps/dl_demos/app_tidl_od_cam/app_draw_detections_module.c,共通/その他
,app_delete_draw_detections(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"drawDetectionsObj, DrawDetectionsObj",apps/dl_demos/app_tidl_od_cam/app_draw_detections_module.c,共通/その他
,update_draw_detections_defaults(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: Number of time to clear the output バッファ before it gets reused）,Number of time to clear the output buffer before it gets reused,Number of time to clear the output バッファ before it gets reused,"drawDetectionsObj, scalerObj, set_img_mosaic_params, AppObj, ImgMosaicObj, imgMosaicObj, sensorObj, Draw2D_Handle",apps/dl_demos/app_tidl_od_cam/main.c,共通/その他
,app_create_graph_post_proc(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,postProcObj,apps/dl_demos/app_tidl_seg/app_post_proc_module.c,共通/その他
,set_post_proc_defaults(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: Number of time to clear the output バッファ before it gets reused）,Number of time to clear the output buffer before it gets reused,Number of time to clear the output バッファ before it gets reused,"postProcObj, viz_params, update_post_proc_params, AppObj, PostProcObj, scalerObj, DisplayObj, displayObj, preProcObj, update_pre_proc_params",apps/dl_demos/app_tidl_seg/main.c,共通/その他
,update_post_proc_params(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: 5 classes for semantic segmentation）,5 classes for semantic segmentation,5 classes for semantic segmentation,"postProcObj, scalerObj, viz_params, DisplayObj, displayObj, AppObj, preProcObj, update_pre_proc_params, update_post_proc_params, imgMosaicObj",apps/dl_demos/app_tidl_seg/main.c,共通/その他
,update_pre_proc_params(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: Number of time to clear the output バッファ before it gets reused）,Number of time to clear the output buffer before it gets reused,Number of time to clear the output バッファ before it gets reused,"AppObj, ImgMosaicObj, imgMosaicObj, scalerObj, PostProcObj, postProcObj, viz_params, update_post_proc_params, DisplayObj, displayObj",apps/dl_demos/app_tidl_seg/main.c,共通/その他
,app_deinit_pose_calc(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"poseCalcObj, PoseCalcObj",apps/dl_demos/app_tidl_vl/app_pose_calc_module.c,共通/その他
,app_delete_pose_calc(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"poseCalcObj, PoseCalcObj",apps/dl_demos/app_tidl_vl/app_pose_calc_module.c,共通/その他
,createInputOutputTensors(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,poseCalcObj,apps/dl_demos/app_tidl_vl/app_pose_calc_module.c,共通/その他
,app_deinit_pose_viz(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"poseVizObj, PoseVizObj",apps/dl_demos/app_tidl_vl/app_pose_viz_module.c,共通/その他
,app_delete_pose_viz(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"poseVizObj, PoseVizObj",apps/dl_demos/app_tidl_vl/app_pose_viz_module.c,共通/その他
,app_run_graph(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,,apps/srv_demos/app_srv_calibration/app_srv_calibration.c,共通/その他
,app_run_graph_srv_calib(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,SrvCalibAppObj,apps/srv_demos/app_srv_calibration/app_srv_calibration.c,共通/その他
,app_srv_calibration_main(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"SrvCalibAppObj, gAppObj, capture_params, sensorParams, raw_params, instCfg, capture_param_obj, viss_params, ae_awb_params",apps/srv_demos/app_srv_calibration/app_srv_calibration.c,共通/その他
,write_calmat(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: Extracts calmat data and writes to file）,Extracts calmat data and writes to file,Extracts calmat data and writes to file,"out_calmat_params, calMatBuf, SrvCalibAppObj, out_params",apps/srv_demos/app_srv_calibration/app_srv_calibration.c,共通/その他
,read_calmat_file(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,calMatBuf,apps/srv_demos/app_srv_calibration/srv_utils.c,共通/その他
,read_chartpos_file(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: Reads CHARTPOS file）,Reads CHARTPOS file,Reads CHARTPOS file,calMatBuf,apps/srv_demos/app_srv_calibration/srv_utils.c,共通/その他
,read_lut_file(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: Reads LUT file using get_test_file_path）,Reads LUT file using get_test_file_path,Reads LUT file using get_test_file_path,"ldcParams, calMatBuf",apps/srv_demos/app_srv_calibration/srv_utils.c,共通/その他
,write_calmat_file(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: Read calmat per camera）,Read calmat per camera,Read calmat per camera,calMatBuf,apps/srv_demos/app_srv_calibration/srv_utils.c,共通/その他
,app_create_graph_gpu_lut(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"in_params, lens_params, in_lens_params, param_obj, calMatBuf, create_params, srv_handle",apps/srv_demos/app_srv_camera/app_srv_camera.c,共通/その他
,app_run_graph_gpu_lut(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"AppObj, srv_handle, param_obj",apps/srv_demos/app_srv_camera/app_srv_camera.c,共通/その他
,app_create_graph(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"in_params, lens_params, in_lens_params, param_obj, calMatBuf",apps/srv_demos/app_srv_fileio/main.c,共通/その他
,app_init(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"AppObj, in_params, lens_params, in_lens_params, param_obj, calMatBuf",apps/srv_demos/app_srv_fileio/main.c,共通/その他
,get_offset(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,ldcParams,apps/srv_demos/app_srv_fileio/main.c,共通/その他
,load_from_raw_file(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: skip over a RGBA pixel）,skip over a RGBA pixel,skip over a RGBA pixel,ldcParams,apps/srv_demos/app_srv_fileio/main.c,共通/その他
,vision_apps_test_main(),その他,関数呼び出し,一般的な制御ロジックを実行する,,,,apps/tests/app_vx_conformance_video_io/main.c,共通/その他
,initSensorParams(),フレーム取得,タスクループ,"カメラ入力の受信やDMA転送を設定・実行してフレームを取得する（注記: * Utility API used to add a グラフ parameter from a ノード, ノード parameter index）","* Utility API used to add a graph parameter from a node, node parameter index","* Utility API used to add a グラフ parameter from a ノード, ノード parameter index","IssSensor_CreateParams, sensorParams, num_buf, msc_coeff_obj, display_params, display_param_obj",apps/utilities/app_heterogeneous/app_heterogeneous.c,共通/その他
,testGraphProcessing(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する（注記: Copy CbCr）,Copy CbCr,Copy CbCr,"IssSensor_CreateParams, sensorParams, num_buf, msc_coeff_obj, display_params, display_param_obj, raw_params, initSensorParams, ae_awb_params, instCfg",apps/utilities/app_heterogeneous/app_heterogeneous.c,共通/その他
,write_output_image_yuv(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"IssSensor_CreateParams, sensorParams, num_buf, msc_coeff_obj, display_params, display_param_obj, raw_params, initSensorParams, ae_awb_params",apps/utilities/app_heterogeneous/app_heterogeneous.c,共通/その他
,appMemAllocTest(),その他,タスクループ,一般的な制御ロジックを実行する,,,,apps/utilities/app_mem/main_mem.c,共通/その他
,app_log_device_send_string(),IPC通信,タスクループ,CPU間のイベント・パラメータ更新を通知／受信する,,,,apps/utilities/app_remote_log/main_remote_log.c,共通/その他
,TestGraProcessingDcc(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"dcc_viss_buf, ae_awb_params, raw_params, GetDCCBuf",apps/utilities/app_viss/main.c,共通/その他
,ct_free_mem(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,"dcc_viss_buf, ae_awb_params, raw_params",apps/utilities/app_viss/main.c,共通/その他
,tivxPtkAlgCleanup(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/common/target/vx_ptk_alg_common.c,共通/その他
,tivxAddTargetKernelWriteArray(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: TBD: Write file write code here）,TBD: Write file write code here,TBD: Write file write code here,,kernels/fileio/arm/vx_fileio_write_array_target.c,共通/その他
,tivxRemoveTargetKernelWriteArray(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/fileio/arm/vx_fileio_write_array_target.c,共通/その他
,tivxAddTargetKernelWriteImage(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/fileio/arm/vx_fileio_write_image_target.c,共通/その他
,tivxRemoveTargetKernelWriteImage(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/fileio/arm/vx_fileio_write_image_target.c,共通/その他
,tivxAddTargetKernelWriteRawImage(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/fileio/arm/vx_fileio_write_raw_image_target.c,共通/その他
,tivxRemoveTargetKernelWriteRawImage(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/fileio/arm/vx_fileio_write_raw_image_target.c,共通/その他
,tivxAddTargetKernelWriteTensor(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/fileio/arm/vx_fileio_write_tensor_target.c,共通/その他
,tivxRemoveTargetKernelWriteTensor(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/fileio/arm/vx_fileio_write_tensor_target.c,共通/その他
,tivxAddTargetKernelWriteUserDataObject(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/fileio/arm/vx_fileio_write_user_data_object_target.c,共通/その他
,tivxRemoveTargetKernelWriteUserDataObject(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/fileio/arm/vx_fileio_write_user_data_object_target.c,共通/その他
,tivxRegisterFileIOTargetArmKernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/fileio/arm/vx_kernels_fileio_target.c,共通/その他
,tivxUnRegisterFileIOTargetArmKernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/fileio/arm/vx_kernels_fileio_target.c,共通/その他
,tivxFileIOLoadKernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/fileio/host/vx_kernels_fileio_host.c,共通/その他
,tivxFileIOUnLoadKernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/fileio/host/vx_kernels_fileio_host.c,共通/その他
,tivxRegisterFileIOKernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/fileio/host/vx_kernels_fileio_host.c,共通/その他
,tivxUnRegisterFileIOKernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/fileio/host/vx_kernels_fileio_host.c,共通/その他
,tivxAddTargetKernelDrawBevCamBoxDetections(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: tivx_clr_debug_zone(VX_ZONE_INFO);）,tivx_clr_debug_zone(VX_ZONE_INFO);,tivx_clr_debug_zone(VX_ZONE_INFO);,,kernels/img_proc/a72/vx_dl_bev_cam_post_proc_target.c,共通/その他
,tivxRemoveTargetKernelDrawBevCamBoxDetections(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/a72/vx_dl_bev_cam_post_proc_target.c,共通/その他
,blendSegMask(),その他,タスクループ,"一般的な制御ロジックを実行する（注記: *
 * @param フレーム Original NV12 data バッファ, where the in-place updates will happen
 * @param box bounding box co-ordinates.
 * @param outDataWidth width of the output バッファ.
 * @param outDataHeight Height of the output バッファ.
 *
 * @returns original フレーム with some in-place post processing done）","*
 * @param frame Original NV12 data buffer, where the in-place updates will happen
 * @param box bounding box co-ordinates.
 * @param outDataWidth width of the output buffer.
 * @param outDataHeight Height of the output buffer.
 *
 * @returns original frame with some in-place post processing done","*
 * @param フレーム Original NV12 data バッファ, where the in-place updates will happen
 * @param box bounding box co-ordinates.
 * @param outDataWidth width of the output バッファ.
 * @param outDataHeight Height of the output バッファ.
 *
 * @returns original フレーム with some in-place post processing done","num_params, tivxDLBEVPostProcParams",kernels/img_proc/a72/vx_dl_bev_post_proc_target.c,共通/その他
,tivxAddTargetKernelDrawBevBoxDetections(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/a72/vx_dl_bev_post_proc_target.c,共通/その他
,tivxRemoveTargetKernelDrawBevBoxDetections(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/a72/vx_dl_bev_post_proc_target.c,共通/その他
,dlPreProcess_4D_NV12_image(),その他,タスクループ,一般的な制御ロジックを実行する,,,,kernels/img_proc/a72/vx_dl_bev_pre_proc_armv8_target.c,共通/その他
,tivxAddTargetKernelDLPreProc4DArmv8(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: ##################################################################################）,##################################################################################,##################################################################################,dl4DPreProcessImageParams,kernels/img_proc/a72/vx_dl_bev_pre_proc_armv8_target.c,共通/その他
,tivxRemoveTargetKernelDLPreProc4DArmv8(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,dl4DPreProcessImageParams,kernels/img_proc/a72/vx_dl_bev_pre_proc_armv8_target.c,共通/その他
,tivxAddTargetKernelImgHist(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/a72/vx_img_hist_target.c,共通/その他
,tivxRemoveTargetKernelImgHist(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/a72/vx_img_hist_target.c,共通/その他
,tivxRegisterImgProcTargetA72Kernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/a72/vx_kernels_img_proc_target.c,共通/その他
,tivxUnRegisterImgProcTargetA72Kernels(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/a72/vx_kernels_img_proc_target.c,共通/その他
,blendImage(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/a72/vx_nv12_drawing_utils.c,共通/その他
,drawCircle(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/a72/vx_nv12_drawing_utils.c,共通/その他
,drawHorizontalLine(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: the line is more vertical than horizontal）,the line is more vertical than horizontal,the line is more vertical than horizontal,,kernels/img_proc/a72/vx_nv12_drawing_utils.c,共通/その他
,drawLine(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/a72/vx_nv12_drawing_utils.c,共通/その他
,drawPixel(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: Module headers.）,Module headers.,Module headers.,,kernels/img_proc/a72/vx_nv12_drawing_utils.c,共通/その他
,drawRect(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/a72/vx_nv12_drawing_utils.c,共通/その他
,drawText(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/a72/vx_nv12_drawing_utils.c,共通/その他
,drawVerticalLine(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/a72/vx_nv12_drawing_utils.c,共通/その他
,fillRegion(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: Module headers.）,Module headers.,Module headers.,,kernels/img_proc/a72/vx_nv12_drawing_utils.c,共通/その他
,getColor(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: Module headers.）,Module headers.,Module headers.,,kernels/img_proc/a72/vx_nv12_drawing_utils.c,共通/その他
,initGraph(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/a72/vx_nv12_drawing_utils.c,共通/その他
,updateGraph(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/a72/vx_nv12_drawing_utils.c,共通/その他
,getFont(),その他,タスクループ,一般的な制御ロジックを実行する,,,,kernels/img_proc/a72/vx_nv12_font_utils.c,共通/その他
,tivxAddTargetKernelDLColorBlend(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_dl_color_blend_target.c,共通/その他
,tivxRemoveTargetKernelDLColorBlend(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_dl_color_blend_target.c,共通/その他
,tivxAddTargetKernelDLColorConvert(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_dl_color_convert_target.c,共通/その他
,tivxRemoveTargetKernelDLColorConvert(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_dl_color_convert_target.c,共通/その他
,tivxAddTargetKernelDLDrawBox(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_dl_draw_box_target.c,共通/その他
,tivxRemoveTargetKernelDLDrawBox(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_dl_draw_box_target.c,共通/その他
,dl_pre_proc_kernel(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,,kernels/img_proc/c66/vx_dl_pre_proc_target.c,共通/その他
,tivxAddTargetKernelDLPreProc(),フレーム処理,関数呼び出し,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: Write DL pre proc operation here）,Write DL pre proc operation here,Write DL pre proc operation here,,kernels/img_proc/c66/vx_dl_pre_proc_target_no_dma.c,共通/その他
